name,count,id,lat,lng
Exchange Ave & 79th St,162,580,41.752081275,-87.552090287
Fairbanks Ct & Grand Ave,14969,TA1305000003,41.89184737210993,-87.62058019638062
Fairbanks St & Superior St,6336,18003,41.895748,-87.620104
Fairfield Ave & 44th St,184,21380,41.813617,-87.6932272
Fairfield Ave & Pratt Blvd,96,24148,42.004667401,-87.698558211
Fairfield Ave & Roosevelt Rd,209,KA1504000102,41.866624,-87.694521
Federal St & Polk St,15268,SL-008,41.87207763285,-87.6295437729
Field Blvd & South Water St,10500,15534,41.88634906269,-87.6175165471
Field Museum,8917,13029,41.865312,-87.617867
Financial Pl & Ida B Wells Dr,9451,SL-010,41.875024,-87.633094
Fort Dearborn Dr & 31st St,3423,TA1307000048,41.838556,-87.608218
Fort Dearborn Dr & 31st St*,4423,chargingstx06,41.83867632897121,-87.60883212089539
Francisco Ave & 47th St,154,21381,41.80849,-87.69673
Francisco Ave & 85th St,16,23119,41.738902,-87.695518
Francisco Ave & Bloomingdale Ave,1017,429,41.914024949,-87.699448943
Francisco Ave & Chicago Ave,1147,411,41.89572416666667,-87.69859316666667
Francisco Ave & Foster Ave,1800,KA1504000160,41.97563272521,-87.7014194389
Francisco Ave & Hollywood Ave,108,460,41.98441966666667,-87.70151083333333
Francisco Ave & Montrose Ave,1107,446,41.961039782,-87.700913191
Franklin St & Adams St (Temp),9063,TA1309000008,41.87943409140013,-87.63550400733948
Franklin St & Chicago Ave,11020,13017,41.896746973093805,-87.63566762208939
Franklin St & Illinois St,12395,RN-,41.89102331025185,-87.63547986745834
Franklin St & Jackson Blvd,14912,TA1305000025,41.8777079559,-87.6353211408
Franklin St & Lake St,14377,TA1307000111,41.885837,-87.6355
Franklin St & Monroe St,13208,TA1309000007,41.880317,-87.635185
Fullerton & Monitor,91,474,41.923582333333336,-87.772159
Glenlake Ave & Pulaski Rd,8,24156,41.9924402,-87.7289072
Glenwood Ave & Morse Ave,3900,KA1504000175,42.00797192287,-87.6655023944
Glenwood Ave & Touhy Ave,1834,525,42.012701,-87.666058
Grace & Cicero,29,21322,41.949766755,-87.746924043
Grace St & Central Ave,18,23164,41.9495327,-87.7672648
Grace St & Cicero Ave,37,21322,41.949782014,-87.746914625
Granville Ave & Pulaski Rd,17,24156,41.9924402,-87.7289072
Green St & Madison St,16747,TA1307000120,41.881859328038225,-87.64926373958588
Green St & Randolph St*,6959,chargingstx3,41.883601657275165,-87.64862671494483
Green St & Washington Blvd,6510,13053,41.88318130597391,-87.64872461557388
Greenview Ave & Diversey Pkwy,6058,13294,41.93258963429789,-87.66593635082245
Greenview Ave & Fullerton Ave,9329,TA1307000001,41.92533,-87.6658
